40,40,45,1,42
40,40,45,1,42
47,39,46,1,29.14
55,30,60,1,26.94
55,30,60,1,26.94
55,30,60,1,26.94
55,30,60,1,26.94
55,30,60,1,26.94
40,35,36,1,26.93
40,35,36,1,26.93
40,35,36,1,26.93
40,35,36,1,26.93
40,35,36,1,26.93
47,46,46,1,26.51
47,46,46,1,26.51
47,46,46,1,26.51
40,30,36,1,24.95
40,30,36,1,24.95
40,30,36,1,24.95
40,30,36,1,24.95
40,30,36,1,24.95
40,30,36,1,23.36
40,30,36,1,23.05
40,30,36,1,23.05
40,30,36,1,23.05
30,30,33,1,20.24
30,30,33,1,20.24
40,29,20,1,20.08
40,29,20,1,20.06
40,29,20,1,20.06
40,29,20,1,20.06
40,29,20,1,20.06
40,29,20,1,20.06
40,29,20,1,20.06
40,30,36,1,20.01
40,30,36,1,20.01
40,30,36,1,20.01
40,30,36,1,20.01
40,30,36,1,20.01
45,30,26,1,19.96
45,30,26,1,19.96
45,30,26,1,19.96
45,30,26,1,19.93
45,30,26,1,19.93
45,30,26,1,19.93
40,30,37,1,18.6
40,30,37,1,18.6
40,30,37,1,18.6
40,30,37,1,18.6
40,30,37,1,18.6
40,30,37,1,18.6
35,24,36,1,17.27
35,30,30,1,15
40,30,24,1,14.8
40,30,24,1,14.8
40,30,24,1,14.8
35,30,24,1,14.79
30,30,24,1,12.6
30,16,36,1,11.99
30,16,36,1,11.98
30,16,36,1,11.98
28,19,33,1,10.67
28,19,33,1,10.67
28,19,33,1,10.67
28,19,33,1,10.67
28,19,33,1,10.67
28,24,19,1,10.6
28,24,19,1,10.6
28,24,19,1,10.6
25,16,32,1,10.1
25,16,32,1,10.1
25,16,32,1,10.1
25,16,32,1,10.1
25,16,32,1,9.38
22,22,33,1,7.92
25,18,20,1,6.92
25,18,20,1,6.92
25,18,20,1,6.92
25,18,20,1,6.92
25,18,20,1,6.92
25,18,20,1,6.92
25,18,20,1,6.92
23,15,28,1,6.74
23,15,28,1,6.72
19,19,33,1,6.54
19,19,33,1,6.54
19,19,33,1,6.52
20,20,30,1,5.06
25,20,16,1,4.83
25,20,16,1,4.83
25,20,16,1,4.83
25,20,16,1,4.83
25,20,16,1,4.83
22,14,24,1,3.73
22,14,24,1,3.73
22,14,24,1,3.73
22,14,24,1,3.73
17,10,25,1,3.61
17,10,25,1,3.61
20,12,22,1,3.4
20,12,22,1,3.4
20,12,22,1,3.4
20,12,22,1,3.4
15,17,30,1,2.71
15,17,30,1,2.71
18,12,20,1,1.86
20,15,13,1,0.84
20,15,13,1,0.83
20,15,13,1,0.83
20,15,13,1,0.83
20,15,13,1,0.83
20,15,13,1,0.83
20,15,13,1,0.83
20,15,13,1,0.83
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
10,10,10,1,0.26
30,18,33,2,13.63
30,18,33,2,13.63
30,18,33,2,13.63
40,35,36,3,26.93
40,29,20,4,21.12
