38;30;37;1;18,6
38;30;37;1;18,6
30;20;35;1;12,31
25;18;20;1;7
25;18;20;1;6,92
25;18;20;1;6,92
25;18;20;1;6,92
23;15;28;1;6,74
23;15;28;1;6,74
23;15;28;1;6,74
23;15;28;1;6,64
24;20;18;1;6,5
16;12;14;1;1,08
14;13;11;1;0,6
40;40;45;2;42
40;40;45;2;42
40;40;45;2;42
50;32;35;2;38
50;32;35;2;38
50;32;35;2;38
48;50;40;2;27,18
48;50;40;2;27,18
48;50;40;2;27,18
40;30;36;2;23,13
38;32;27;2;19,5
38;32;27;2;19,5
38;32;27;2;19,5
38;32;27;2;19,5
38;32;27;2;19,5
35;25;33;2;16,2
35;25;33;2;15,58
35;25;33;2;15,58
35;25;33;2;15,58
35;30;30;2;15
35;30;30;2;15
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
34;23;34;2;14
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
25;16;32;2;9,9
26;17;33;2;9,4
26;17;33;2;9,4
23;23;30;2;8,45
24;22;33;2;8
24;22;33;2;8
24;22;33;2;7,92
25;18;20;2;7
25;18;20;2;7
25;18;20;2;6,92
25;18;20;2;6,92
25;18;20;2;6,92
25;18;20;2;6,92
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,74
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,72
23;15;28;2;6,64
14;13;10;2;0,56
37;30;33;3;20,24
34;26;29;3;16,46
34;26;29;3;16,46
35;25;33;3;15,6
35;25;33;3;15,6
35;25;33;3;15,6
35;25;33;3;15,6
34;23;34;3;14
34;23;34;3;14
34;22;34;3;13,9
34;22;34;3;13,9
34;22;34;3;13,9
34;22;34;3;13,9
30;20;35;3;12,31
30;20;35;3;12,31
30;20;35;3;12,31
28;19;33;3;11,4
28;19;33;3;10,67
28;24;19;3;10,6
24;19;28;3;10,4
24;19;28;3;10,4
24;19;28;3;10,4
24;19;28;3;10,17
24;19;28;3;10,17
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
25;16;32;3;9,9
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
24;24;36;3;9,53
26;18;31;3;9
26;18;31;3;9
25;18;22;3;7,1
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
25;18;20;3;6,92
23;15;28;3;6,74
23;15;28;3;6,74
23;15;28;3;6,74
23;15;28;3;6,74
17;17;33;3;3,3
40;29;20;4;21,12
